date,callorput,open,high,close,buyprice,sellprice,totalprofit,roi
2014/9/19,put,9268.44,9289.22,9240.45,9268.44,9296.43,8677.87,1.02878092732
2014/9/22,put,9220.54,9220.54,9134.65,9220.54,9306.43,8763.76,1.03896337921
2014/9/23,put,9134.29,9147.21,9084.9,9134.29,9183.68,8813.15,1.04481867435
2014/9/24,put,9071.8,9123.11,9098.49,9071.8,9045.11,8786.46,1.04165451506
2014/9/25,put,9126.76,9149.41,9011.59,9126.76,9241.93,8901.63,1.05530817655
2014/9/26,put,8957.56,9001.98,8989.82,8957.56,8925.3,8869.37,1.05148368128
2014/9/29,put,9018.46,9018.46,8960.76,9018.46,9076.16,8927.07,1.05832414553
2014/9/30,put,8954.58,8998.83,8966.92,8954.58,8942.24,8914.73,1.05686121089
2014/10/1,put,8958.87,9014.26,8990.26,8958.87,8927.48,8883.34,1.05313985608
2014/10/2,put,8959.37,9010.27,8975.19,8959.37,8943.55,8867.52,1.05126435964
2014/10/3,put,9010.3,9113.8,9106.28,9010.3,8914.32,8771.54,1.03988571564
2014/10/6,put,9118.28,9122.54,9095.14,9118.28,9141.42,8794.68,1.04262901448
2014/10/7,put,9065.67,9074.8,9040.81,9065.67,9090.53,8819.54,1.04557622316
2014/10/8,put,8989.99,9038.61,8955.18,8989.99,9024.8,8854.35,1.04970302664
2014/10/9,put,9021.31,9054.67,8966.44,9021.31,9076.18,8909.22,1.05620798805
2014/10/13,put,8767.42,8795.77,8711.39,8767.42,8823.45,8965.25,1.06285047006
2014/10/14,put,8691.83,8768.39,8768.39,8691.83,8615.27,8812.13,1.04469775106
2014/10/15,put,8769.39,8776.91,8655.51,8769.39,8883.27,8926.01,1.05819848016
2014/10/16,put,8602.65,8676.46,8633.69,8602.65,8571.61,8863.93,1.0508387571
2014/10/17,put,8688.71,8699.77,8512.88,8688.71,8864.54,9039.76,1.07168379747
2014/10/20,put,8617.08,8679.85,8663.14,8617.08,8571.02,8947.64,1.06076276511
2014/10/21,put,8676.32,8676.32,8654.64,8676.32,8698.0,8991.0,1.06590319024
2014/10/22,put,8744.91,8775.35,8748.83,8744.91,8740.99,8987.08,1.06543846546
2014/10/23,put,8735.38,8751.67,8731.07,8735.38,8739.69,8991.39,1.06594942561
2014/10/24,put,8740.28,8750.42,8646.01,8740.28,8834.55,9085.66,1.07712534528
2014/10/27,put,8671.51,8689.67,8627.78,8671.51,8715.24,9173.12,1.0874939242
2014/10/28,put,8692.52,8788.28,8773.55,8692.52,8611.49,9011.06,1.06828134818
2014/10/29,put,8821.85,8903.68,8903.68,8821.85,8740.02,8929.23,1.05858021837
2014/10/30,put,8890.19,8892.99,8888.07,8890.19,8892.31,8931.35,1.05883154912
2014/10/31,put,8909.34,8974.76,8974.76,8909.34,8843.92,8865.93,1.05107586158
2014/11/3,put,9009.38,9029.71,9004.86,9009.38,9013.9,8870.45,1.0516117177
2014/11/4,put,9030.96,9046.22,8989.18,9030.96,9072.74,8912.23,1.05656483029
2014/11/5,put,8997.76,9013.06,8962.6,8997.76,9032.92,8947.39,1.06073312705
2014/11/6,put,8968.79,8979.97,8891.02,8968.79,9046.56,9025.16,1.06995293476
2014/11/7,put,8881.19,8925.62,8912.62,8881.19,8849.76,8993.73,1.06622683786
2014/11/10,put,8937.59,9062.89,9049.98,8937.59,8825.2,8881.34,1.0529027516
2014/11/11,put,9067.54,9069.44,9034.14,9067.54,9100.94,8914.74,1.05686239641
2014/11/12,put,9030.13,9030.13,8918.95,9030.13,9141.31,9025.92,1.07004303446
2014/11/13,put,8947.97,8980.67,8980.67,8947.97,8915.27,8993.22,1.06616637621
2014/11/14,put,8992.4,8996.38,8982.88,8992.4,9001.92,9002.74,1.06729499354
2014/11/17,put,9003.37,9024.0,8884.39,9003.37,9122.35,9121.72,1.08140033906
2014/11/18,put,8916.08,8944.26,8859.07,8916.08,8973.09,9178.73,1.08815900226
2014/11/19,put,8896.16,8988.64,8963.24,8896.16,8829.08,9111.65,1.080206518
2014/11/20,put,8984.93,9078.87,9078.87,8984.93,8890.99,9017.71,1.06906972057
2014/11/21,put,9104.34,9111.18,9091.53,9104.34,9117.15,9030.52,1.07058837477
2014/11/24,put,9144.42,9165.71,9122.33,9144.42,9166.51,9052.61,1.07320719375
2014/11/25,put,9125.27,9153.55,9116.24,9125.27,9134.3,9061.64,1.07427772048
2014/11/26,put,9125.08,9146.04,9122.39,9125.08,9127.77,9064.33,1.074596626
2014/11/27,put,9153.49,9217.73,9165.31,9153.49,9141.67,9052.51,1.07319533853
2014/11/28,put,9163.19,9201.8,9187.15,9163.19,9139.23,9028.55,1.07035482685
2014/12/1,put,9038.41,9164.54,9117.71,9038.41,8959.11,8949.25,1.06095363422
2014/12/2,put,9098.36,9104.84,9034.79,9098.36,9161.93,9012.82,1.06849000012
2014/12/3,put,9073.47,9188.32,9175.26,9073.47,8971.68,8911.03,1.0564225676
2014/12/4,put,9212.85,9251.85,9225.11,9212.85,9200.59,8898.77,1.05496911714
2014/12/5,put,9220.25,9240.51,9206.57,9220.25,9233.93,8912.45,1.05659091179
2014/12/8,put,9231.24,9241.63,9187.29,9231.24,9275.19,8956.4,1.06180128274
2014/12/9,put,9163.43,9177.14,9128.9,9163.43,9197.96,8990.93,1.06589489158
2014/12/10,put,9115.33,9140.49,9032.16,9115.33,9198.5,9074.1,1.07575488139
2014/12/11,put,9003.84,9046.4,9013.07,9003.84,8994.61,9064.87,1.07466064421
2014/12/12,put,9041.54,9084.27,9027.33,9041.54,9055.75,9079.08,1.07634527154
2014/12/15,put,8987.95,8997.08,8985.63,8987.95,8990.27,9081.4,1.07662031274
2014/12/16,put,8967.82,9031.07,8950.91,8967.82,8984.73,9098.31,1.07862503112
2014/12/17,put,8961.64,8972.12,8828.36,8961.64,9094.92,9231.59,1.09442567367
2014/12/18,put,8912.78,8946.42,8878.63,8912.78,8946.93,9265.74,1.09847423267
2014/12/19,put,8981.85,9035.77,8999.52,8981.85,8964.18,9248.07,1.09637941459
2014/12/22,put,9032.42,9099.85,9095.0,9032.42,8969.84,9185.49,1.08896041541
2014/12/23,put,9123.78,9138.15,9097.71,9123.78,9149.85,9211.56,1.09205107231
2014/12/24,put,9096.48,9186.18,9186.18,9096.48,9006.78,9121.86,1.08141693637
2014/12/25,put,9186.83,9198.04,9158.7,9186.83,9214.96,9149.99,1.08475181089
2014/12/26,put,9171.91,9214.07,9214.07,9171.91,9129.75,9107.83,1.07975364845
2014/12/27,put,9222.47,9228.65,9218.5,9222.47,9226.44,9111.8,1.08022430084
2014/12/29,put,9216.43,9313.33,9286.28,9216.43,9146.58,9041.95,1.07194342687
2014/12/30,put,9299.1,9338.06,9268.43,9299.1,9329.77,9072.62,1.07557942407
2014/12/31,put,9260.46,9307.26,9307.26,9260.46,9213.66,9025.82,1.07003117924
2015/1/5,put,9292.31,9292.31,9274.11,9292.31,9310.51,9044.02,1.07218883001
2015/1/6,put,9209.93,9209.93,9048.34,9209.93,9371.52,9205.61,1.09134568648
2015/1/7,put,9051.94,9108.66,9080.09,9051.94,9023.79,9177.46,1.08800844092
2015/1/8,put,9154.03,9246.62,9238.03,9154.03,9070.03,9093.46,1.07805005276
2015/1/9,put,9247.4,9284.57,9215.58,9247.4,9279.22,9125.28,1.08182238503
2015/1/12,put,9198.02,9229.65,9178.3,9198.02,9217.74,9145.0,1.08416023521
2015/1/13,put,9162.77,9253.82,9231.8,9162.77,9093.74,9075.97,1.07597657408
2015/1/14,put,9235.9,9242.2,9180.23,9235.9,9291.57,9131.64,1.08257637728
2015/1/15,put,9197.32,9219.43,9165.09,9197.32,9229.55,9163.87,1.08639731598
2015/1/16,put,9245.77,9256.86,9138.29,9245.77,9353.25,9271.35,1.09913931074
2015/1/19,put,9183.76,9247.09,9174.06,9183.76,9193.46,9281.05,1.10028926747
2015/1/20,put,9188.76,9259.31,9251.69,9188.76,9125.83,9218.12,1.092828775
2015/1/21,put,9283.79,9319.71,9319.71,9283.79,9247.87,9182.2,1.08857037854
2015/1/22,put,9336.81,9386.56,9369.51,9336.81,9304.11,9149.5,1.08469372029
2015/1/23,put,9422.0,9471.8,9470.94,9422.0,9373.06,9100.56,1.07889177366
2015/1/26,put,9474.56,9478.53,9477.67,9474.56,9471.45,9097.45,1.07852307619
2015/1/27,put,9505.56,9523.73,9521.59,9505.56,9489.53,9081.42,1.07662268379
2015/1/28,put,9503.2,9515.29,9510.92,9503.2,9495.48,9073.7,1.07570746049
2015/1/29,put,9479.36,9482.13,9426.9,9479.36,9531.82,9126.16,1.08192671101
2015/1/30,put,9452.85,9466.65,9361.91,9452.85,9543.79,9217.1,1.09270785171
2015/2/2,put,9368.83,9410.43,9386.99,9368.83,9350.67,9198.94,1.09055494304
2015/2/3,put,9394.47,9460.17,9448.73,9394.47,9340.21,9144.68,1.08412229849
2015/2/4,put,9477.52,9533.88,9513.92,9477.52,9441.12,9108.28,1.07980699695
2015/2/5,put,9511.06,9517.42,9512.05,9511.06,9510.07,9107.29,1.07968963024
2015/2/6,put,9521.88,9521.88,9456.18,9521.88,9587.58,9172.99,1.08747851241
2015/2/9,put,9465.12,9465.12,9421.5,9465.12,9508.74,9216.61,1.09264976112
2015/2/10,put,9405.59,9435.07,9393.7,9405.59,9417.48,9228.5,1.09405934725
2015/2/11,put,9430.17,9488.72,9462.22,9430.17,9398.12,9196.45,1.09025974796
2015/2/12,put,9496.39,9500.35,9496.31,9496.39,9496.47,9196.53,1.09026923214
2015/2/13,put,9500.04,9542.09,9529.51,9500.04,9470.57,9167.06,1.08677549762
2015/2/24,put,9582.39,9638.48,9629.37,9582.39,9535.41,9120.08,1.08120591339
2015/2/25,put,9655.72,9699.54,9699.54,9655.72,9611.9,9076.26,1.07601095423
2015/2/26,put,9687.48,9688.07,9622.1,9687.48,9752.86,9141.64,1.08376189968
2015/3/2,put,9665.11,9690.43,9601.36,9665.11,9728.86,9205.39,1.09131960498
2015/3/3,put,9628.06,9642.95,9605.77,9628.06,9650.35,9227.68,1.09396213441
2015/3/4,put,9596.24,9635.18,9621.73,9596.24,9570.75,9202.19,1.09094023782
2015/3/5,put,9627.04,9631.04,9595.09,9627.04,9658.99,9234.14,1.09472798189
2015/3/6,put,9587.59,9645.77,9645.77,9587.59,9529.41,9175.96,1.08783061256
2015/3/9,put,9617.04,9617.04,9562.98,9617.04,9671.1,9230.02,1.09423954666
2015/3/10,put,9566.25,9583.78,9536.53,9566.25,9595.97,9259.74,1.09776291923
2015/3/11,put,9503.28,9561.81,9523.18,9503.28,9483.38,9239.84,1.09540372965
2015/3/12,put,9537.23,9608.02,9596.0,9537.23,9478.46,9181.07,1.08843641451
2015/3/13,put,9608.44,9633.51,9579.35,9608.44,9637.53,9210.16,1.09188509917
2015/3/16,put,9583.45,9590.76,9512.91,9583.45,9653.99,9280.7,1.10024777418
2015/3/17,put,9555.1,9629.8,9539.44,9555.1,9570.76,9296.36,1.10210430226
2015/3/18,put,9563.74,9653.43,9653.43,9563.74,9474.05,9206.67,1.09147135185
2015/3/19,put,9668.01,9745.59,9736.73,9668.01,9599.29,9137.95,1.08332444192
2015/3/20,put,9706.35,9749.69,9749.69,9706.35,9663.01,9094.61,1.07818638783
2015/3/23,put,9759.88,9775.63,9758.09,9759.88,9761.67,9096.4,1.07839859634
