Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12
2016/4/21,18092.84,18107.29,17963.89,17982.52,18006.8,17872.33,17760.02,17037.33,103,100,94.46,218.32,213.71,4.6,0.8209 ,0.8225 ,0.6134 ,0.6492 
2014/4/17,16424.14,16460.49,16368.14,16408.54,16259.19,16281.81,16337.88,16155.28,136,108,106,7.55,17.43,-9.87,0.5704 ,0.4249 ,0.5843 ,0.5436 
2015/7/30,17743.24,17761.25,17640.85,17745.98,17627.35,17782.59,17802.13,17944.52,76.65,98.92,97.73,-61.94,-40.31,-21.63,0.3813 ,0.3769 ,0.4941 ,0.4735 
2015/5/20,18315.06,18350.13,18272.56,18285.4,18284.29,18177.05,18089.91,18001.43,80.24,89.28,88.34,82.26,52.63,29.63,0.8847 ,0.8497 ,0.6584 ,0.6006 
2015/2/24,18112.57,18231.09,18098.73,18209.19,18096.42,18025.23,17777.58,17724.76,79.35,85.74,91.01,138.11,95.3,42.81,0.9394 ,0.9246 ,0.7574 ,0.6553 
2016/11/15,18858.21,18925.26,18806.06,18923.06,18807.4,18440.79,18301.03,18286.11,101,132,110,151.21,53.1,98.11,0.9120 ,0.8011 ,0.8831 ,0.7663 
2013/5/9,15105.12,15144.83,15046.87,15082.62,15037.36,14909.04,14783.92,14492.52,97.81,113,114,134.11,105.45,28.66,0.9138 ,0.8875 ,0.7418 ,0.6798 
2016/4/7,17687.28,17687.28,17484.23,17541.96,17678.22,17647.71,17514.24,16739.38,90.12,98.97,91.75,220.34,248.72,-28.38,0.5910 ,0.7233 ,0.4359 ,0.5578 
2015/6/4,18072.47,18087.15,17876.95,17905.58,18008.97,18089.33,18133.19,18002.79,93.5,93.95,90.64,-2.49,28.77,-31.26,0.2310 ,0.3242 ,0.3040 ,0.4019 
2014/9/22,17271.71,17277.88,17159.36,17172.68,17201.45,17115.75,17105.26,16938.67,74.3,134,103,81.97,71.15,10.82,0.7022 ,0.6733 ,0.5533 ,0.5823 
2016/10/7,18295.35,18319.73,18149.35,18240.49,18242.46,18232.63,18214.35,18397.27,82.68,77.15,89.44,-29.51,-39.45,9.94,0.5811 ,0.5403 ,0.4955 ,0.4875 
2014/9/8,17131.71,17137.88,17079.17,17111.42,17092.84,17094.78,16944.24,16896.2,65.65,67.61,64.13,87.43,70.75,16.69,0.6954 ,0.7247 ,0.6479 ,0.6272 
2013/11/19,15974.06,16025.85,15943.78,15967.03,15920.52,15823.9,15700.93,15356.91,84.57,104,97.57,158.17,136.03,22.14,0.8972 ,0.8878 ,0.7618 ,0.6973 
2017/1/30,20028.62,20028.62,19870.39,19971.13,20029.41,19913.8,19903.08,19447.78,317,353,345,98.18,102.85,-4.67,0.7647 ,0.7074 ,0.5259 ,0.5665 
2013/9/30,15249.82,15249.82,15086.71,15129.67,15264.81,15401.98,15269.84,15304.12,122,92.89,131,38.79,57.18,-18.39,0.1700 ,0.3207 ,0.2914 ,0.4166 
2014/9/15,16988.76,17051.85,16951.38,17031.14,17030.05,17061.44,17043.81,16912.15,71.74,72.82,70.22,53.83,66.52,-12.69,0.3970 ,0.4661 ,0.4827 ,0.5347 
2015/9/24,16257.11,16257.11,16016.36,16201.32,16341.29,16452.5,16415.72,17137.87,122,152,128,-164.93,-187.84,22.91,0.2753 ,0.4100 ,0.3622 ,0.4121 
2017/1/9,19931.41,19943.78,19887.38,19887.38,19914.88,19886.93,19877.02,19037.34,288,291,240,182.93,225.88,-42.95,0.6644 ,0.6237 ,0.5160 ,0.6110 
2016/2/24,16418.84,16507.39,16165.86,16484.99,16468.57,16254.18,16231.23,16790.09,93.62,107,123,-22.86,-105.16,82.31,0.8327 ,0.7762 ,0.5982 ,0.5439 
2016/9/28,18240.22,18349.86,18179.34,18339.24,18263.26,18219.64,18278.24,18393.11,97.65,87.49,106,-48.97,-54.84,5.87,0.5541 ,0.4975 ,0.5770 ,0.5213 
2015/9/8,16109.93,16503.41,16109.93,16492.68,16275.91,16315.73,16728.77,17436.82,124,133,153,-337.1,-335.31,-1.78,0.6324 ,0.5473 ,0.5178 ,0.4529 
2015/4/7,17884.32,17983.12,17871.21,17875.42,17798.76,17809.07,17856.95,17822.09,72.19,96.66,100,-29.46,-20.53,-8.93,0.4717 ,0.4099 ,0.5295 ,0.5001 
2016/12/1,19149.2,19214.3,19138.79,19191.93,19137.43,19052.26,18791.95,18389.19,109,97.85,93.28,235.15,210.06,25.08,0.8769 ,0.9005 ,0.8222 ,0.7694 
2014/9/9,17110.39,17111.55,16993.29,17013.87,17082.1,17088.48,16966.43,16900.17,69.04,68.46,65.29,80.24,72.65,7.59,0.5044 ,0.6512 ,0.4274 ,0.5326 
2013/8/12,15415.22,15441.75,15359.93,15419.68,15466.58,15525.16,15527.91,15277.76,78.06,85.28,98.18,55.46,88.43,-32.97,0.3443 ,0.4714 ,0.3202 ,0.4653 
